,Prompt-1,Prompt-2,Prompt-3,Prompt-4,Prompt-5,Prompt-6,Prompt-7,Prompt-8
GPT-2 + LR,0.757,0.622,0.698,0.742,0.835,0.709,0.675,0.564
GPT-2 + RF,0.795,0.688,0.674,0.704,0.832,0.694,0.685,0.48
GPT-2 + Adaboost,0.648,0.605,0.578,0.684,0.591,0.614,0.555,0.58
GPT-2 + KNN,0.747,0.621,0.647,0.695,0.791,0.675,0.581,0.513
GPT-2 + SVC,0.0,0.0,0.034,0.0,0.124,0.0,0.0,0.0
