,Prompt-1,Prompt-2,Prompt-3,Prompt-4,Prompt-5,Prompt-6,Prompt-7,Prompt-8
BERT + LR,0.793,0.677,0.686,0.744,0.824,0.755,0.687,0.648
BERT + RF,0.773,0.634,0.681,0.738,0.818,0.743,0.689,0.478
BERT + Adaboost,0.659,0.579,0.645,0.717,0.589,0.685,0.478,0.558
BERT + KNN,0.731,0.584,0.624,0.723,0.774,0.684,0.598,0.538
BERT + SVC,0.656,0.629,0.699,0.658,0.795,0.616,0.416,0.171
